store_name,total_reviews,avg_rating,sample_reviews,low_star_in_sample,earliest_sample,latest_sample
車麗屋汽車百貨八德店、萬通代驗廠、（電動機車充電站）,3472,4.5,0,0,,
車麗屋汽車百貨蘆洲店,3419,4.5,0,0,,
車麗屋汽車百貨 基隆店,3279,4.6,0,0,,
車麗屋汽車百貨 內湖店,3240,4.4,0,0,,
車麗屋汽車百貨 中壢店,3111,4.6,0,0,,
車麗屋汽車百貨 板橋店,3059,4.2,0,0,,
車麗屋汽車百貨 楊梅店,2966,4.8,0,0,,
車麗屋汽車百貨 新營店,2820,4.8,0,0,,
車麗屋汽車百貨 台中崇德店,2504,4.4,0,0,,
POINTS車麗屋汽車百貨 鳳山店,2389,4.3,0,0,,
車麗屋汽車百貨 土城店,2306,4.2,0,0,,
車麗屋汽車百貨林口店,2289,4.4,0,0,,
車麗屋汽車百貨 新竹店 （汽車保養、維修、改裝）,2276,4.3,0,0,,
車麗屋汽車百貨 台南中華店,2024,4.4,0,0,,
車麗屋汽車百貨 新莊三重店,1730,4.5,0,0,,
車麗屋汽車百貨 宜蘭中山店,1548,4.4,0,0,,
車麗屋汽車百貨 彰化金馬店,1528,4.3,0,0,,
車麗屋汽車百貨 桃園春日店,1368,4.6,0,0,,
車麗屋汽車百貨 高雄國泰店,1332,4.9,0,0,,
車麗屋汽車百貨-松江店Line:@car550,1240,4.5,0,0,,
車麗屋汽車百貨 彰化員林店,1224,4.3,0,0,,
車麗屋汽車百貨 台中朝馬店,1109,4.4,0,0,,
車麗屋汽車百貨 內湖行忠店,1080,4.5,0,0,,
車麗屋汽車百貨 台中沙鹿店,713,4.9,0,0,,
車麗屋汽車百貨 新店中興店,595,4.2,0,0,,
車麗屋汽車百貨 承德店(台塑加油站內),481,4.5,0,0,,
車麗屋汽車百貨(仁美店),350,4.8,0,0,,
車麗屋汽車百貨 嘉義店,277,4.2,0,0,,
車麗屋汽車美容 林口中山店,181,4.5,0,0,,
POINTS車麗屋汽車百貨 汐止店,153,4.3,0,0,,
車麗屋汽車美容 林口忠孝店,128,4.3,0,0,,
車麗屋汽車百貨 樹林店,107,4.5,0,0,,
車麗屋汽車百貨,52,3.9,0,0,,
